dataset,maxCPU,deltaCPU,maxAcc,deltaAcc,popularityTime,dataTier,sizeGb,age
/DYJetsToLL_M-50_13TeV-pythia6/Fall13dr-tsg_PU40bx50_POSTLS162_V1-v1/AODSIM,1070,461,1070,461,14,AODSIM,391,105
/DYJetsToLL_M-50_13TeV-pythia6/Fall13dr-tsg_PU40bx50_POSTLS162_V1-v1/GEN-SIM-RAW,104,93,104,93,2,GEN-SIM-RAW,1465,28
/DYJetsToLL_M-50_HT-400to600_Tune4C_13TeV-madgraph-tauola/Spring14dr-PU20bx25_POSTLS170_V5-v1/AODSIM,33937,25606,33937,25606,3,AODSIM,2089,28
/DYJetsToLL_M-50_HT-600toInf_Tune4C_13TeV-madgraph-tauola/Spring14miniaod-PU20bx25_POSTLS170_V5-v1/MINIAODSIM,1650,593,1650,593,2,MINIAODSIM,184,28
/DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball-tauola-tauPolarOff/Summer12_DR53X-PU_S10_START53_V19-v1/AODSIM,41739,41739,41739,41739,6,AODSIM,9153,28
/DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball/Summer12-PU_S7_START50_V15-v1/AODSIM,49011,33154,49011,33154,5,AODSIM,5814,28
/DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball/Summer12-PU_S9_START52_V9-v1/GEN-SIM-RECO,2302,1998,2302,1998,3,GEN-SIM-RECO,1871,91
/DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball/Summer12_DR53X-PU_RD1_START53_V7N-v1/AODSIM,89859,80513,89859,80513,14,AODSIM,8708,119
/DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,262222,197910,262222,197910,50,AODSIM,9970,119
/DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7D-v2/GEN-SIM-RECO,2948,2940,2948,2940,22,GEN-SIM-RECO,5268,0
/DYJetsToLL_M-50_matchingdown_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,2176,1032,2176,1032,24,AODSIM,691,182
/DYJetsToLL_M10-50_PtZ-100_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V19-v1/AODSIM,8193,609,8193,609,6,AODSIM,1433,7
/DYJetsToLL_PtZ-100_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,859,714,859,714,20,AODSIM,282,35
/DYJetsToLL_PtZ-100_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v2/AODSIM,6352,2577,6352,2577,71,AODSIM,972,427
/DYJetsToLL_PtZ-100_TuneZ2star_8TeV_ext-madgraph-tarball/Summer12-START53_V7C-v3/GEN,991,708,991,708,3,GEN,26,0
/DYJetsToLL_PtZ-100_TuneZ2star_8TeV_ext-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,28942,14620,28942,14620,47,AODSIM,4562,84
/DYJetsToLL_PtZ-50To70_TuneZ2star_8TeV-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,7605,5078,7605,5078,30,AODSIM,1716,231
/DYJetsToLL_PtZ-50To70_TuneZ2star_8TeV_ext-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,28833,19186,28833,19186,21,AODSIM,5763,154
/DYJetsToLL_PtZ-70To100_TuneZ2star_8TeV-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7A-v2/AODSIM,2745,1467,2745,1467,15,AODSIM,500,385
/DYJetsToLL_PtZ-70To100_TuneZ2star_8TeV_ext-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,24967,11043,24967,11043,30,AODSIM,4165,133
/DYJetsToLL_TuneZ2_M-50_7TeV-madgraph-tauola/Fall11-PU_S6-START44_V5-v1/AODSIM,29676,8071,29676,8071,15,AODSIM,7462,378
/DYJetsToLL_TuneZ2_M-50_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,99222,21361,99222,21361,46,AODSIM,7746,91
/DYJetsToLL_TuneZ2_M-50_7TeV-madgraph-tauola/Fall11-PU_S6_START44_V9B-v1/AODSIM,105577,87639,105577,87639,19,AODSIM,7457,70
/DYJetsToLL_TuneZ2_M-50_7TeV-madgraph-tauola/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM,8925,4890,8925,4890,6,AODSIM,6184,0
/DYJetsToLL_TuneZ2_M-50_7TeV-madgraph-tauola/Summer11dr53X-PU_S13_START53_LV3-v1/AODSIM,7215,713,7215,713,2,AODSIM,6148,7
/DYJets_0p0_1p2_2p10_3p15_4p15_CT10_8TeV-sherpa/Summer12_DR53X-PU_RD1_START53_V7N-v1/AODSIM,50361,50360,50361,50360,8,AODSIM,38823,7
/DYToBB_M_50_TuneZ2_7TeV_pythia6/Fall11-PU_S6_START44_V9B-v1/AODSIM,519,289,519,289,4,AODSIM,480,35
/DYToEE_M-1000_CT10_TuneZ2star_8TeV-powheg-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,126,56,126,56,9,AODSIM,34,14
/DYToEE_M-10To20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6-START44_V5-v1/AODSIM,2368,2109,2368,2109,2,AODSIM,1809,35
/DYToEE_M-10To20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM,3922,3906,3922,3906,18,AODSIM,1897,35
/DYToEE_M-10To20_CT10_TuneZ2star_8TeV-powheg-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,2115,338,2115,338,6,AODSIM,3270,42
/DYToEE_M-10To20filter_CT10_TuneZ2star_8TeV-powheg-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,2565,1843,2565,1843,2,AODSIM,1984,14
